language;question;answer
afr_Latn;Vraag: Roger het 5 tennisballe. Hy koop nog 2 blikkies tennisballe. Elke blikkie het 3 tennisballe. Hoeveel tennisballe het hy nou? ;Stap-vir-stap antwoord: Roger het met 5 balle begin. 2 blikkies van 3 tennisballe elk is 6 tennisballe. 5 plus 6 is gelyk aan 11. Die antwoord is 11. 
afr_Latn;Vraag: Daar was nege rekenaars in die bedienerkamer. Nog vyf rekenaars is elke dag, van Maandag tot Donderdag, geïnstalleer. Hoeveel rekenaars is nou in die bedienerkamer? ;Stap-vir-stap antwoord: Daar is 4 dae van Maandag tot Donderdag. Elke dag is 5 rekenaars bygevoeg. Dit beteken dat daar altesaam 4 * 5 = 20 rekenaars bygevoeg is. Daar was 9 rekenaars in die begin, so nou is daar 9 + 20 = 29 rekenaars. Die antwoord is 29. 
afr_Latn;Vraag: Leah het 32 sjokolade gehad en haar suster 42. As hulle 35 geëet het, hoeveel stukke het hulle in totaal oor? ;Stap-vir-stap-antwoord: Leah het 32 sjokolade gehad en Leah se suster het 42. Dit beteken dat daar oorspronklik 32 + 42 = 74 sjokolade was. 35 is geëet. So in totaal het hulle nog 74 - 35 = 39 sjokolade. Die antwoord is 39. 
afr_Latn;Vraag: Shawn het vyf speelgoed. Vir Kersfees het hy twee speelgoed elk van sy ma en pa gekry. Hoeveel speelgoed het hy nou? ;Stap-vir-stap-antwoord: Hy het 5 speelgoed. Hy het 2 van ma gekry, so daarna het hy 5 + 2 = 7 speelgoed. Toe het hy nog 2 van pa gekry, dus in totaal het hy 7 + 2 = 9 speelgoed. Die antwoord is 9. 
afr_Latn;Vraag: Michael het 58 gholfballe gehad. Dinsdag het hy 23 gholfballe verloor. Woensdag het hy nog twee verloor. Hoeveel golfballe het hy aan die einde van Woensdag gehad? ;Stap-vir-stap antwoord: Michael het met 58 gholfballe begin en 23 verloor, so hy het 58 - 23 = 35. Nadat hy nog 2 verloor het, het hy nou 35 - 2 = 33 balle. Die antwoord is 33. 
afr_Latn;Vraag: Olivia het $23 Sy het vyf bagels vir $3 elk gekoop. Hoeveel geld het sy oor? ;Stap-vir-stap-antwoord: 5 bagels vir $3 elk moet 5 * 3 = 15 dollar kos. Olivia het $23 in die begin gehad, so nou het sy 23 - 15 = 8 dollar oor. Die antwoord is 8. 
afr_Latn;Vraag: Jason het 20 suikerrietjies gehad. Hy het vir Denny 'n paar lekkers gegee. Nou het Jason 12 suikerrietjies. Hoeveel lolly het Jason aan Denny gegee? ;Stap-vir-stap-antwoord: Jason het met 20 suikerrietjies begin, maar nou het hy net 12, en daarom het hy vir Denny 20 - 12 = 8 suikerrietjies gegee. Die antwoord is 8. 
afr_Latn;Vraag: As daar 3 motors op die parkeerterrein is en 2 ander motors kom, hoeveel motors is daar op die parkeerterrein? ;Stap-vir-stap antwoord: Daar is 3 motors aan die begin, 2 kom meer aan, so nou moet daar 3 + 2 = 5 motors wees. Die antwoord is 5. 
arb_Arab;سؤال: لدى (روجر) 5 كرات تنس يشتري علبتين أخريين من كرات التنس كل علبة بها 3 كرات تنس كم عدد كرات التنس التي لديه الآن؟ ;الجواب خطوة بخطوة: بدأ روجر بـ 5 كرات. علبتان من 3 كرات تنس كل واحدة منها ست كرات تنس 5 + 6 = 11 الجواب هو 11 
arb_Arab;سؤال: كان هناك تسعة أجهزة كمبيوتر في غرفة الخادم. تم تركيب خمسة أجهزة كمبيوتر أخرى كل يوم، من الاثنين إلى الخميس. كم كمبيوتر في غرفة الخادم الآن؟ ;الإجابة خطوة بخطوة: هناك 4 أيام من الاثنين إلى الخميس. 5 أجهزة كمبيوتر إضافت كل يوم. هذا يعني أن إجمالي 4 * 5 = 20 جهاز كمبيوتر تم إضافتها. كان هناك 9 أجهزة كمبيوتر في البداية، لذلك الآن هناك 9 + 20 = 29 جهاز كمبيوتر. الجواب هو 29. 
